title,category,material,weight,price,origin_location,eco_score,emission_factor
apple iphone 15 pro,mobiles,"aluminum, glass",0.19,999.0,cupertino,6.6,6.6
samsung galaxy s24 ultra,mobiles,"aluminum, recycled plastic, glass",0.23,1199.0,san jose,6.4,6.2
google pixel 8 pro,mobiles,"recycled plastic, glass",0.21,999.0,mountain view,6.5,5.35
dell xps 13,laptops,"aluminum, carbon fiber",1.2,1199.0,austin,5.0,8.5
apple macbook air m3,laptops,"aluminum, glass",1.24,1299.0,cupertino,6.5,6.6
hp spectre x360,laptops,"aluminum, recycled plastic",1.4,1299.0,boston,6.0,6.75
patagonia better sweater,fashion,recycled polyester (rpet),0.7,129.0,denver,6.0,3.8
levi’s 511 jeans,fashion,regular cotton,0.6,89.0,san francisco,7.0,3.8
allbirds tree runners,fashion,hemp,0.5,98.0,san francisco,10.0,1.9
lego classic bricks box,kids & baby,recycled plastic,1.8,49.0,los angeles,6.0,5.0
green toys dump truck,kids & baby,recycled plastic,1.2,34.0,san diego,6.0,5.0
melissa & doug wooden blocks,kids & baby,wood,2.5,49.0,denver,8.0,2.5
dyson purifier cool tp09,appliances,"aluminum, plastic (abs, pvc)",4.5,549.0,chicago,4.5,9.0
ninja air fryer max xl,appliances,"recycled plastic, stainless steel",5.0,139.0,seattle,6.5,6.15
instant pot duo,appliances,"stainless steel, plastic (abs, pvc)",4.2,129.0,boston,5.0,8.4
google pixel 8 pro variant 0,mobiles,"recycled plastic, glass",0.17,1201.98,mountain view,6.16,4.96
patagonia better sweater variant 1,fashion,recycled polyester (rpet),0.6,101.62,denver,6.4,3.47
apple iphone 15 pro variant 2,mobiles,"aluminum, glass",0.16,1294.39,cupertino,6.2,6.99
apple iphone 15 pro variant 3,mobiles,"aluminum, glass",0.19,763.67,cupertino,6.97,6.92
dell xps 13 variant 4,laptops,"aluminum, carbon fiber",1.09,956.02,austin,5.2,8.07
levi’s 511 jeans variant 5,fashion,regular cotton,0.62,114.08,san francisco,6.92,3.75
levi’s 511 jeans variant 6,fashion,regular cotton,0.61,87.33,san francisco,6.66,3.44
google pixel 8 pro variant 7,mobiles,"recycled plastic, glass",0.2,787.5,mountain view,6.95,5.64
apple macbook air m3 variant 8,laptops,"aluminum, glass",1.05,1615.05,cupertino,6.07,6.55
levi’s 511 jeans variant 9,fashion,regular cotton,0.71,73.63,san francisco,7.42,3.54
lego classic bricks box variant 10,kids & baby,recycled plastic,1.6,48.03,los angeles,6.02,5.11
dell xps 13 variant 11,laptops,"aluminum, carbon fiber",1.08,1496.94,austin,5.49,8.09
dell xps 13 variant 12,laptops,"aluminum, carbon fiber",1.4,1173.71,austin,5.47,8.67
instant pot duo variant 13,appliances,"stainless steel, plastic (abs, pvc)",4.66,138.07,boston,5.42,8.13
apple macbook air m3 variant 14,laptops,"aluminum, glass",1.4,1535.71,cupertino,6.34,6.31
green toys dump truck variant 15,kids & baby,recycled plastic,1.28,30.53,san diego,5.74,5.02
apple iphone 15 pro variant 16,mobiles,"aluminum, glass",0.21,1270.32,cupertino,6.1,6.45
apple macbook air m3 variant 17,laptops,"aluminum, glass",1.23,1058.03,cupertino,6.78,6.43
lego classic bricks box variant 18,kids & baby,recycled plastic,1.94,43.62,los angeles,6.04,5.35
apple iphone 15 pro variant 19,mobiles,"aluminum, glass",0.23,1061.29,cupertino,6.13,6.37
google pixel 8 pro variant 20,mobiles,"recycled plastic, glass",0.17,1281.35,mountain view,6.12,5.15
green toys dump truck variant 21,kids & baby,recycled plastic,1.3,33.17,san diego,5.93,5.22
melissa & doug wooden blocks variant 22,kids & baby,wood,2.95,63.29,denver,8.34,2.68
lego classic bricks box variant 23,kids & baby,recycled plastic,1.45,43.47,los angeles,6.27,4.99
lego classic bricks box variant 24,kids & baby,recycled plastic,1.54,52.48,los angeles,5.97,4.58
levi’s 511 jeans variant 25,fashion,regular cotton,0.56,90.99,san francisco,7.43,4.09
allbirds tree runners variant 26,fashion,hemp,0.5,118.78,san francisco,10.14,1.94
allbirds tree runners variant 27,fashion,hemp,0.44,99.7,san francisco,10.25,1.71
dell xps 13 variant 28,laptops,"aluminum, carbon fiber",0.97,1182.06,austin,4.96,8.23
green toys dump truck variant 29,kids & baby,recycled plastic,1.3,27.96,san diego,6.37,5.09
ninja air fryer max xl variant 30,appliances,"recycled plastic, stainless steel",4.05,113.38,seattle,6.25,6.44
ninja air fryer max xl variant 31,appliances,"recycled plastic, stainless steel",4.36,109.2,seattle,6.3,5.81
allbirds tree runners variant 32,fashion,hemp,0.49,126.08,san francisco,10.03,1.85
patagonia better sweater variant 33,fashion,recycled polyester (rpet),0.84,130.32,denver,5.87,4.1
hp spectre x360 variant 34,laptops,"aluminum, recycled plastic",1.55,1278.27,boston,6.19,7.21
hp spectre x360 variant 35,laptops,"aluminum, recycled plastic",1.34,1114.53,boston,6.33,6.69
google pixel 8 pro variant 36,mobiles,"recycled plastic, glass",0.23,732.22,mountain view,6.36,5.19
samsung galaxy s24 ultra variant 37,mobiles,"aluminum, recycled plastic, glass",0.21,976.52,san jose,6.19,6.02
instant pot duo variant 38,appliances,"stainless steel, plastic (abs, pvc)",4.84,143.09,boston,5.1,8.3
